River_ID,River_Name,Country,Continent,Population_2015,Population_2060,Waste_Generation_2015_tons,Waste_Generation_2060_tons,Plastic_Waste_2015_tons,Plastic_Waste_2060_tons,Mismanaged_Waste_2015_tons,Mismanaged_Waste_2060_tons,Plastic_to_River_2015_tons,Plastic_to_River_2060_tons,River_Length_km,Basin_Area_km2,Urbanization_2015_pct,Urbanization_2060_pct,GDP_per_capita_2015,GDP_per_capita_2060,Policy_Strength_2015,Policy_Strength_2060,Waste_Collection_Rate_2015,Waste_Collection_Rate_2060,Risk_Score_Change
12,River_11,India,Asia,4401754,5974945,3368.232582752506,5042.791699759638,992.2884290511064,1152.880743592733,651.7535186661913,521.6271760984748,220.58167099429863,91.62865067462565,1463.4145173345798,246766.32921561308,31.71457926788267,47.55136099680525,7378.922879800967,9087.960789120343,0.6454722959071678,0.8163165676699874,0.8583210090470399,1.0,-128.953020319673
18,River_17,India,Asia,11070723,13520024,10338.41293180676,13499.807973166116,2307.2238167321752,3739.699662312956,733.9777411554638,1308.3153998293064,211.20794828025168,229.9809988196725,2148.4001109113897,329688.12217785354,29.77606562488578,35.83459683589223,16239.272316054732,20046.808488008835,0.5857755812734633,1.0,0.6028319245131153,0.7498744060647458,18.773050539420865
37,River_36,India,Asia,14061076,22660931,20224.614477235333,17703.46860729846,2291.433722057181,5279.601520880212,1213.976942199403,2833.728500213523,172.3018269341582,705.0793367370679,543.9869341169741,82664.31548998655,29.855947875859577,47.07456867933031,16797.331907056905,31578.73290210667,0.3588304841235025,0.8097107004487458,0.4747115751958448,0.728861435063739,532.7775098029097
42,River_41,India,Asia,18592846,21164852,15528.693693547022,29691.18561726652,1567.2552226386904,6434.075004567258,719.7893526002592,2669.8724474843475,270.60961884706194,364.6685292877796,900.0353446457578,369013.1228067645,47.133076453388426,55.50214879748816,11584.768145250988,16023.056473851324,0.1763869865062233,0.4757340956020152,0.4932478146531835,0.7719592899202086,94.05891044071768
45,River_44,India,Asia,11584508,16051368,12183.688818562585,13706.079572450646,1696.2450778380123,3441.6181789732086,912.6130845071516,1155.38047078633,247.1657900103405,314.1076510619951,1413.967882719247,360685.7350589428,68.31889804147431,88.14982977080595,15278.336353336,34359.52997536974,0.9626493185548748,1.0,0.2987572941443995,0.45035537121278,66.9418610516546
52,River_51,India,Asia,14588262,26252269,15402.383031329917,28174.20071339293,2503.9803697551547,4905.255572054051,1483.3816801896976,1358.950096097873,199.6403395310081,211.2361065477123,1998.5875029997887,372787.20951199,23.29295687878849,35.12011215433084,13299.647113743638,27103.492438661862,0.6501673504432282,0.8960462502261505,0.5924740358024598,0.7627395067634815,11.5957670167042
75,River_74,India,Asia,10527148,17345264,11232.638097813278,23215.7548850555,3096.873282460395,5358.8477620818985,1334.1740889476175,2502.782080499617,456.7595459746144,602.0974979125182,2004.6434397036544,218356.0740916536,69.0700529705013,75.87318880106042,13839.982900040814,16711.589171716463,0.3245858299002703,0.5711704438488294,0.4773208841264788,0.7011876857989443,145.33795193790382
83,River_82,India,Asia,3596605,5090129,4517.923309521287,4823.261295103045,1052.5963667190883,1490.821795879124,706.1565116503659,438.0881711200503,155.20951141134827,38.59732168833546,2481.5845802880194,463573.48299422336,52.39742781683358,70.0279272324799,13263.470443165032,26668.34797588498,0.0891244321160166,0.4912326003147398,0.2893994385446644,0.5459163461077965,-116.61218972301282
92,River_91,India,Asia,11872676,18547635,15011.486961816112,16044.565410625835,1564.03169806787,2670.366550339022,1074.7150189366414,849.6516505670279,355.480202862273,175.16919060988027,985.7521171495948,103637.943835582,27.283185089564384,41.50837961014739,19478.527625625804,39679.2319788675,0.5303021332491583,0.6470826226218128,0.8779421443160687,1.0,-180.31101225239277
98,River_97,India,Asia,8083439,10167407,9723.919925601234,6637.323557295435,1918.7193332887252,1791.2396846555932,1037.7551954662522,374.6792015807322,204.05629601365607,78.35391231621098,415.0493535656464,348012.40851569857,64.75551252882047,84.48505038551265,5641.128873982031,12820.42361321165,0.520296576918654,0.7696816153763234,0.2856637301276246,0.519540131749509,-125.70238369744509
101,River_100,India,Asia,12751832,14089759,7106.344138659671,11627.203086050771,897.3172332033621,2671.549965987504,600.3493978701927,1038.7632079667155,62.4488173995482,125.36461528473475,159.25752551375575,19107.523684137577,36.543191185733136,45.67737626591732,19784.601763739294,48814.25212448474,0.3712070938899983,0.6427618454344137,0.7913526054002149,0.9083873604240932,62.91579788518657
110,River_109,India,Asia,18579375,21820372,15140.696631686056,13175.514486567148,3578.259830392883,2416.7372206467085,2011.3862387829504,1442.0599626137798,244.98938121331983,99.89077688895595,883.9312270333535,433326.87061141967,32.93179212747991,43.33745942643512,2178.3824623609994,4775.236288130473,0.4083063427594511,0.8120058359837883,0.8325254910427566,0.9407162778180788,-145.09860432436386
111,River_110,India,Asia,11733032,19381949,13668.805152000765,16674.035998714535,3846.934937116344,4737.868342650961,2016.4719385341764,1157.9150655518663,472.08968156895565,191.15969772162387,2168.1808433305414,273777.46187370643,42.824032938224576,62.476037865884464,3212.654536494734,5619.938206430296,0.0420246751714052,0.4379863234781774,0.8426535865394054,0.9626629189270276,-280.9299838473317
133,River_132,India,Asia,13590123,21371800,8371.824010311426,13726.930806037297,1782.5774102427908,4612.718116977228,1136.7486892869974,2169.541681169156,161.1167965944973,246.36847998448428,2195.0025050539098,92220.81109179334,36.70636449502607,43.6503742629577,17064.65166965307,41418.92999392472,0.2689680315953859,0.5591306747354154,0.644037817797843,0.9439043798517506,85.251683389987
